texto,intencion
¿Tienen el iPhone 15 Pro en 256GB?,consulta_producto
¿Tienen stock del 16 Pro Max?,consulta_producto
¿Le hace al iPhone 13 el case MagSafe?,consulta_producto
¿En qué colores tienen el iPhone 16?,consulta_producto
Hola ¿tienen el 11 reacondicionado?,consulta_producto
¿La mica antiespía le hace al 15 Pro Max?,consulta_producto
¿Tienen cases para el 14 Plus?,consulta_producto
¿Ese case transparente es para todos los modelos?,consulta_producto
¿Tienen mica completa para el iPhone 14?,consulta_producto
¿El case MagSafe le hace al 13 Pro?,consulta_producto
¿Qué accesorios tienen para el iPhone 12?,consulta_producto
¿Tienen protector para el iPhone 13 mini?,consulta_producto
¿A cuánto me sale el iPhone 15?,consulta_precio
¿Cuánto está la mica antiespía?,consulta_precio
¿A cuánto el case MagSafe para el 14?,consulta_precio
¿Hay descuento si llevo el cel con case y mica?,consulta_precio
¿Cuánto me sale el iPhone 16 Pro de 128?,consulta_precio
¿A cuánto la mica completa para el 14 Pro?,consulta_precio
¿Tienen alguna promo por cantidad?,consulta_precio
¿Cuánto está el iPhone 12 reacondicionado?,consulta_precio
¿A cuánto me saldría el 16 Pro Max 256GB?,consulta_precio
¿Precio del case transparente para el 15?,consulta_precio
¿Tienen algún precio especial para empresas?,consulta_precio
¿A cuánto me sale la mica normal para el 13?,consulta_precio
¿Cuánto me sale cambiar la batería de mi iPhone 13?,consulta_servicio_tecnico
Mi pantalla está quiñada ¿cuánto me cobran?,consulta_servicio_tecnico
¿Hacen diagnóstico? Mi cel no prende,consulta_servicio_tecnico
¿Cuánto demoran en cambiar una pantalla rajada?,consulta_servicio_tecnico
Mi cel se mojó ¿pueden revisarlo?,consulta_servicio_tecnico
¿Hacen cambio de batería el mismo día?,consulta_servicio_tecnico
¿Cuánto me cuesta el diagnóstico?,consulta_servicio_tecnico
¿Trabajan con garantía en las reparaciones?,consulta_servicio_tecnico
¿Cambian la cámara trasera del iPhone 11?,consulta_servicio_tecnico
Mi cel cayó y la pantalla quedó rajada ¿cuánto me sale arreglarlo?,consulta_servicio_tecnico
¿Arreglan el Touch ID que dejó de funcionar?,consulta_servicio_tecnico
¿Cuánto está el cambio de pantalla para el iPhone 14?,consulta_servicio_tecnico
Buenos días dejé mi cel ayer para cambio de pantalla ¿ya está listo?,seguimiento_reparacion
¿Cuándo estará lista mi reparación?,seguimiento_reparacion
Dejé mi iPhone 13 para diagnóstico el lunes ¿ya tienen resultado?,seguimiento_reparacion
Ya son 3 días y no me han llamado ¿qué pasó con mi cel?,seguimiento_reparacion
Hola ¿a qué hora puedo recoger mi iPhone?,seguimiento_reparacion
