texto,intencion
pienso devolverlo,solicitud_garantia_cambio
En que colores tienen el iPhone 16?,consulta_producto
Deje el cel el martes cuando puedo recogerlo?,seguimiento_reparacion
Cuanto demora un cambio de pantalla express?,consulta_servicio_tecnico
Ya me canse de esperar necesito respuesta ya,escalamiento_urgente
Me dijeron que estaria listo en 2 dias y ya van 5,queja_producto_servicio
Cuanto esta la mica antiespia?,consulta_precio
Quiero garantia escrita antes de aceptar el cambio,solicitud_garantia_cambio
pueda hablarme sobre el costo de los nuevos modelos de Mac,consulta_precio
¿A cuánto me sale la mica normal para el 13?,consulta_precio
¿Cuánto me cuesta el diagnóstico?,consulta_servicio_tecnico
El case se agrietó solo guardado en mi mochila,queja_producto_servicio
La mica antiespia le hace al 15 Pro Max,consulta_producto
disculpe mi equipo dejo de funcionar pueden verlo?,consulta_servicio_tecnico
¿Trabajan con garantia en las reparaciones?,consulta_servicio_tecnico
"tiene ciertos problemas, lo estoy devolviendo",solicitud_garantia_cambio
A cuánto sale la mica de privacidad?,consulta_precio
El case MagSafe no pega bien al celular,queja_producto_servicio
Cambian micrófono si no se escucha nada?,consulta_servicio_tecnico
El case antigolpes le queda al 12?,consulta_producto
Cambian botones de volumen si están duros?,consulta_servicio_tecnico
La mica antiespia no bloquea nada de verdad,queja_producto_servicio
Tienen precio por mayor para revendedores?,consulta_precio
¿Hacen cambio de bateria el mismo dia?,consulta_servicio_tecnico
Necesito que cambien este producto,solicitud_garantia_cambio
Es urgente mi cel se apagó y tengo algo importante hoy,escalamiento_urgente
Dejé mi cel hace 4 días y no sé nada ¿pueden decirme cómo va?,seguimiento_reparacion
Cuánto demora un cambio de pantalla express?,consulta_servicio_tecnico
Quiero devolver el producto y que me reembolsen,solicitud_garantia_cambio
Hola ¿a que hora puedo recoger mi iPhone?,seguimiento_reparacion
Cuánto falta para que esté lista la batería nueva?,seguimiento_reparacion
Buenas queria saber algo antes de comprar,saludo_cierre
"Hola, ya esta mi producto?",seguimiento_reparacion
Mi cel se mojo ¿pueden revisarlo?,consulta_servicio_tecnico
como se encuentra mi producto?,seguimiento_reparacion
como van? ya identificaron el problema?,seguimiento_reparacion
Quiero una solucion hoy mismo no mañana,escalamiento_urgente
Cuanto falta para que este lista la bateria nueva?,seguimiento_reparacion
puedo porfavor hablar con alguna persona?,escalamiento_urgente
Necesito una respuesta ahora no puedo esperar mas,escalamiento_urgente
Esto es pesimo servicio necesito una solucion ya,escalamiento_urgente
"ya pase demasiado, no puedo seguir asi. Llame a alguien ahora mismo",escalamiento_urgente
El case MagSafe le hace al 13 Pro,consulta_producto
Cuanto me cuesta el diagnostico,consulta_servicio_tecnico
Me dieron el case de un modelo diferente al que pedí,solicitud_garantia_cambio
Voy a poner una queja formal si no me solucionan esto hoy,escalamiento_urgente
Chau nos vemos luego,saludo_cierre
"piensan ayudarme o no? me canse, necesito que me contactes con tu supervisor ahora mismo",escalamiento_urgente
¿Ya revisaron mi iPhone? Lo dejé para diagnóstico,seguimiento_reparacion
Tienen el iPhone 15 Pro en 256GB,consulta_producto
La batería falló otra vez quiero que respondan por garantía,solicitud_garantia_cambio
Mi pantalla esta quiñada ¿cuanto me cobran?,consulta_servicio_tecnico
"no funciona, lo devolvere",solicitud_garantia_cambio
El servicio técnico trabaja con repuestos sellados?,consulta_servicio_tecnico
puedo llevarlo? para que lo revisen?,consulta_servicio_tecnico
¿A qué número me llaman cuando esté listo?,seguimiento_reparacion
El case llegó sin empaque ni garantía escrita,queja_producto_servicio
A cuanto sale la mica de privacidad?,consulta_precio
Mi cel se calienta mucho podrían revisar por qué?,consulta_servicio_tecnico
Deje mi cel para diagnostico el jueves pasado,seguimiento_reparacion
Quiero que me cambien el case esta mal hecho,solicitud_garantia_cambio
Deje mi iPhone 13 para diagnostico el lunes ¿ya tienen resultado?,seguimiento_reparacion
que clase de accesorios tiene mi modelo?,consulta_producto
El vidrio templado vino con una burbuja de aire,queja_producto_servicio
Le hace al iPhone 13 el case MagSafe,consulta_producto
Puedo pasar a recoger hoy o todavia no esta,seguimiento_reparacion
¿Puedo pasar a recoger hoy o todavia no esta?,seguimiento_reparacion
Dejé el iPhone para cambio de batería hace 3 días,seguimiento_reparacion
tiene solucion? se rompio su pantalla,consulta_servicio_tecnico
Ya llegaron los repuestos para mi reparacion?,seguimiento_reparacion
Qué colores manejan del 16 Pro?,consulta_producto
¿Cuánto me sale cambiar la batería de mi iPhone 13?,consulta_servicio_tecnico
La reparacion no quedo bien exijo que la rehagan,solicitud_garantia_cambio
El case llego defectuoso ¿puedo devolverlo?,solicitud_garantia_cambio
El tecnico no me explico que le hizo a mi cel,queja_producto_servicio
Voy a reportar esto si no me atienden ya,escalamiento_urgente
Cuánto me sale el iPhone 16 Pro de 128?,consulta_precio
Alguien me puede dar info del estado de mi reparacion?,seguimiento_reparacion
Cuánto me cuesta el diagnóstico?,consulta_servicio_tecnico
Necesito una solución ahora no mañana,escalamiento_urgente
¿Hay descuento si llevo el cel con case y mica?,consulta_precio
Quiero que me devuelvan mi dinero por el producto malo,solicitud_garantia_cambio
¿Tienen mica completa para el iPhone 14?,consulta_producto
El accesorio que compre dejo de funcionar en dos dias,queja_producto_servicio
Hola buenas tengo una duda rápida,saludo_cierre
Buenos días alguien despierto?,saludo_cierre
Si no me responden hoy voy a cancelar todo,escalamiento_urgente
Alguna actualizacion sobre mi orden de servicio?,seguimiento_reparacion
necesito que cambien mi modelo,solicitud_garantia_cambio
A que numero me llaman cuando este listo?,seguimiento_reparacion
Requiero solución urgente antes de que termine el día,escalamiento_urgente
¿Cuanto esta el cambio de pantalla para el iPhone 14?,consulta_servicio_tecnico
Hay descuento si llevo el cel con case y mica,consulta_precio
Hola qué tal,saludo_cierre
Hacen diagnóstico gratis o tiene costo?,consulta_servicio_tecnico
Ok perfecto voy a pasar por la tienda,saludo_cierre
ya terminaron de repararlo?,seguimiento_reparacion
¿Ese case transparente es para todos los modelos?,consulta_producto
Deje el iPhone para cambio de bateria hace 3 dias,seguimiento_reparacion
Gracias por su tiempo,saludo_cierre
Voy a devolverlo,solicitud_garantia_cambio
Tienen algo para proteger los bordes del cel?,consulta_producto
El protector de cámara se despintó rapidísimo,queja_producto_servicio
Le hace al iPhone 13 el case MagSafe?,consulta_producto
La mica antiespia le hace al 15 Pro Max?,consulta_producto
Precio del case antigolpes para el 15 Pro Max?,consulta_precio
La garantía cubre si el case se despega solo?,solicitud_garantia_cambio
Me avisan por WhatsApp cuando esté listo?,seguimiento_reparacion
Cuánto demora el cambio de batería?,consulta_servicio_tecnico
El case que pedi llego de otro color,queja_producto_servicio
Qué accesorios tienen para el iPhone 12?,consulta_producto
"funciona pesimo, lo devolvere",solicitud_garantia_cambio
Como hago para usar la garantia de la reparacion?,solicitud_garantia_cambio
Reparan iPhone con daño de agua severo?,consulta_servicio_tecnico
Cuanto me costaria cambiar pantalla y bateria juntos?,consulta_precio
Compré un protector y ya se rajó sin haberlo golpeado,queja_producto_servicio
Hola queria saber el estado de mi cel,seguimiento_reparacion
Gracias igualmente que esten bien,saludo_cierre
¿Cuanto tiempo mas falta para que este listo?,seguimiento_reparacion
Me cambiaron la pantalla y quedó con una línea verde,queja_producto_servicio
Ya se comunicaron con el proveedor por mi repuesto?,seguimiento_reparacion
A cuánto me saldría el 16 Pro Max 256GB?,consulta_precio
cuanto cuesta esas fundas?,consulta_precio
y cuanto cuesta el cargador MagSafe?,consulta_precio
"como van las cosas, ya pudieron arreglarlo?",seguimiento_reparacion
El case que compre llego rayado de fabrica,queja_producto_servicio
Cómo va el diagnóstico de mi iPhone?,seguimiento_reparacion
Me pueden cambiar la mica por una de mejor calidad?,solicitud_garantia_cambio
Quiero cambio del case porque no es el modelo correcto,solicitud_garantia_cambio
Cuál es el precio del iPhone 15 de 256GB?,consulta_precio
¿Cuándo estará lista mi reparación?,seguimiento_reparacion
Me cambiaron la batería y dura menos que antes,queja_producto_servicio
Cuánto cuesta el iPhone 14 Pro Max?,consulta_precio
Esto se esta saliendo de control necesito ayuda ya,escalamiento_urgente
"Lo use por un dia, y dejo de funcionar",queja_producto_servicio
Necesito una solucion ahora no mañana,escalamiento_urgente
Cambian botones de volumen si estan duros?,consulta_servicio_tecnico
Cambian la camara trasera del iPhone 11,consulta_servicio_tecnico
